Project_ID,Project_Priority,Phase,Team_Size,Duration_Months,Budget,Expenditure,Risk_Rating,Completion_Percent,On_Time,Success
P0001,High,Monitoring,19,16,196740,186975,9,40,1,0
P0002,Low,Monitoring,10,19,424179,303976,6,76,0,0
P0003,High,Monitoring,4,7,191196,159238,6,68,1,0
P0004,High,Monitoring,15,22,325014,241196,2,9,0,0
P0005,Low,Closure,5,12,459763,453647,8,9,1,0
P0006,Low,Planning,18,24,74110,54751,3,90,1,1
P0007,High,Closure,8,15,194626,156757,7,59,1,0
P0008,Medium,Closure,9,8,162008,104189,5,50,1,0
P0009,High,Monitoring,12,6,389039,339857,3,20,1,0
P0010,High,Execution,11,10,14426,13493,1,7,1,0
P0011,High,Execution,4,3,229911,114955,8,64,0,0
P0012,High,Closure,17,19,299750,285336,3,91,0,0
P0013,Low,Closure,7,17,451048,401820,2,77,0,0
P0014,High,Monitoring,6,7,38151,28498,1,84,1,1
P0015,Medium,Closure,6,21,482519,630037,4,29,0,0
P0016,Low,Monitoring,20,20,283452,309443,8,84,0,0
P0017,Medium,Execution,6,4,250853,170760,3,48,1,0
P0018,Medium,Execution,19,14,465738,497243,1,8,1,0
P0019,Medium,Planning,14,20,264595,303993,4,16,1,0
P0020,Medium,Execution,19,22,186743,172999,9,68,0,0
P0021,Low,Closure,12,15,100306,97526,1,57,1,0
P0022,Low,Execution,3,24,235180,227576,2,56,0,0
P0023,Medium,Monitoring,20,8,379128,189564,9,61,0,0
P0024,Medium,Execution,20,21,12204,10527,2,94,0,0
P0025,Low,Planning,16,15,102769,87581,3,51,1,0
P0026,Low,Execution,17,22,97265,115359,7,60,0,0
P0027,Low,Monitoring,14,20,303275,293189,3,39,0,0
P0028,High,Monitoring,6,14,62428,52469,9,37,1,0
P0029,High,Closure,5,9,43870,38692,6,42,1,0
P0030,High,Execution,14,8,113547,125432,3,62,1,0
P0031,Medium,Monitoring,9,17,245990,212309,9,18,0,0
P0032,High,Planning,13,2,59067,44912,1,99,1,1
P0033,Medium,Closure,3,24,461801,390156,10,49,1,0
P0034,Medium,Planning,8,3,248083,269948,3,32,0,0
P0035,High,Execution,17,8,122217,122123,1,12,1,0
P0036,Medium,Execution,17,12,424823,386101,2,77,1,0
P0037,High,Execution,13,1,428184,401768,8,96,1,0
P0038,High,Closure,4,10,108934,85845,7,61,1,0
P0039,Low,Monitoring,16,20,152980,131747,2,92,1,1
P0040,High,Closure,4,3,429639,329678,2,42,1,0
